epoch,accuracy,loss,val_accuracy,val_loss
0,0.5332961678504944,0.990827739238739,0.5928093791007996,0.8975043892860413
1,0.5748119354248047,0.9415808916091919,0.6145485043525696,0.8470069169998169
2,0.5792700052261353,0.9036180973052979,0.6429765820503235,0.8069130778312683
3,0.6051825284957886,0.8436201810836792,0.659699022769928,0.767332136631012
4,0.6101978421211243,0.8370200991630554,0.6714046597480774,0.7491375803947449
5,0.6299805045127869,0.788310170173645,0.6847826242446899,0.7222084403038025
6,0.646976888179779,0.7360542416572571,0.6789297461509705,0.7207621932029724
7,0.6570075154304504,0.7196360230445862,0.6864548325538635,0.6804443597793579
8,0.6648091673851013,0.7171732783317566,0.7157190442085266,0.6719653010368347
9,0.6675954461097717,0.6777015924453735,0.6739130616188049,0.7208675742149353
0,0.383413702249527,1.479606032371521,0.4838280975818634,1.2052068710327148
1,0.4142719507217407,1.20140540599823,0.5135135054588318,1.059093713760376
2,0.4530376195907593,1.158539056777954,0.543641984462738,1.0471175909042358
3,0.4451301693916321,1.160032033920288,0.5445281267166138,1.0132578611373901
4,0.4707810878753662,1.1230589151382446,0.566681444644928,0.9920638799667358
5,0.4304725229740143,1.1738089323043823,0.5143996477127075,1.0486544370651245
6,0.4524590075016022,1.1488291025161743,0.5299069285392761,0.997504711151123
7,0.46171650290489197,1.121923804283142,0.5427558422088623,1.003853678703308
0,0.37916359305381775,1.5252575874328613,0.5601061582565308,1.1098086833953857
1,0.4289415180683136,1.2183376550674438,0.5574516654014587,1.034751057624817
2,0.42413026094436646,1.1878254413604736,0.5430413484573364,1.0394933223724365
3,0.4461509883403778,1.173290729522705,0.5779294371604919,0.9846164584159851
4,0.45743894577026367,1.1561213731765747,0.5805839896202087,0.9806732535362244
5,0.4652109444141388,1.138293981552124,0.59651118516922,0.9470502138137817
6,0.480384886264801,1.123475193977356,0.5839969515800476,0.9541395902633667
7,0.4742783010005951,1.1276172399520874,0.5794463157653809,0.977343738079071
8,0.4805699586868286,1.1212823390960693,0.5813424587249756,0.9786099791526794
